,STATION,LINENAME,LAT,LON,SYSTEM,NET_ENTRIES,CROWD_INDEX
0,GRD CNTRL-42 ST,4567S,40.751849,-73.976945,MTA,11840017.0,10.0
1,34 ST-HERALD SQ,BDFMNQRW,40.749533,-73.987899,MTA,9972397.0,9.783154930850527
2,14 ST-UNION SQ,456LNQRW,40.734836,-73.990688,MTA,8319636.0,9.554261031620648
3,FULTON ST,2345ACJZ,40.709938,-74.007983,MTA,7343471.0,9.396605707656912
4,42 ST-PORT AUTH,1237ACENQRSW,40.757303,-73.989787,MTA,7241329.0,9.378912316713913
5,TIMES SQ-42 ST,1237ACENQRSW,40.755905,-73.986504,MTA,6586497.0,9.259182850129223
6,34 ST-PENN STA,ACE,40.752247,-73.993456,MTA,6343063.0,9.211611124235827
7,LEXINGTON AV/53,6EM,40.75753,-73.969102,MTA,5687941.0,9.073905967887734
8,59 ST COLUMBUS,1ABCD,40.76811,-73.981891,MTA,5521501.0,9.036390900920823
9,PATH NEW WTC,1,40.711638,-74.010708,PATH,5374624.0,9.002333765453612
10,47-50 STS ROCK,BDFM,40.758652,-73.981311,MTA,4753926.0,8.847317341994696
11,PELHAM PKWY,25,40.857188,-73.867607,MTA,4603597.0,8.806727316410461
12,FLUSHING-MAIN,7,40.759578,-73.830056,MTA,4578137.0,8.799721884771538
13,W 4 ST-WASH SQ,ABCDEFM,40.732251,-74.000559,MTA,4576909.0,8.799383011018481
14,JOURNAL SQUARE,1,40.732102,-74.063915,PATH,4482105.0,8.772942997064911
15,CANAL ST,6JNQRWZ,40.718697,-74.000977,MTA,4219803.0,8.696766886575046
16,59 ST,456NQRW,40.762796,-73.967686,MTA,4211776.0,8.694361723240817
17,JKSN HT-ROOSVLT,7EFMR,40.746655,-73.891361,MTA,4058281.0,8.64746573403784
18,34 ST-PENN STA,123ACE,40.750264,-73.992984,MTA,4005512.0,8.630932957844323
19,BROAD ST,JZ,40.706539,-74.011052,MTA,3526579.0,8.47007385957112
20,ATL AV-BARCLAY,2345BDNQR,40.684063,-73.977417,MTA,3351117.0,8.405607307928758
21,86 ST,456,40.779485,-73.955541,MTA,3310463.0,8.390189184409524
22,14 ST,123FLM,40.737348,-73.9969,MTA,3307405.0,8.38902178490294
23,72 ST,123,40.778575,-73.981912,MTA,3292464.0,8.3833024545008
24,7 AV,FG,40.666276,-73.980324,MTA,3157451.0,8.330411045845317
25,42 ST-BRYANT PK,7BDFM,40.754198,-73.984573,MTA,3155996.0,8.329828813195213
26,61 ST WOODSIDE,7,40.745623,-73.902969,MTA,3120124.0,8.315388747290017
27,57 ST-7 AV,NQRW,40.764755,-73.980646,MTA,3002581.0,8.266881470651601
28,96 ST,123,40.79388,-73.972363,MTA,2915529.0,8.229717069478406
29,34 ST-PENN STA,123,40.750329,-73.991096,MTA,2822355.0,8.188688984451431
30,GROVE STREET,1,40.719876,-74.042616,PATH,2803645.0,8.180287118376249
31,JAMAICA CENTER,EJZ,40.702131,-73.80111,MTA,2723865.0,8.143820562408791
32,JAY ST-METROTEC,ACF,40.692338,-73.987342,MTA,2705287.0,8.13517548777794
33,33 ST,6,40.746119,-73.981826,MTA,2585529.0,8.077980739042278
34,BOROUGH HALL,2345R,40.692404,-73.990151,MTA,2574230.0,8.072448366980385
35,DELANCEY/ESSEX,FJMZ,40.71838,-73.987813,MTA,2572805.0,8.071748915090645
36,161/YANKEE STAD,4BD,40.827888,-73.925736,MTA,2379165.0,7.972907565037818
37,BEDFORD AV,L,40.717241,-73.956614,MTA,2375038.0,7.970714472535674
38,BOWLING GREEN,45,40.704782,-74.014099,MTA,2339114.0,7.951461862819926
39,125 ST,ABCD,40.811056,-73.952386,MTA,2229349.0,7.890749455337452
40,FOREST HILLS 71,EFMR,40.721681,-73.84439,MTA,2226866.0,7.889341753354995
41,72 ST-2 AVE,Q,40.768589,-73.958507,MTA,2215714.0,7.88299986620517
42,CONEY IS-STILLW,DFNQ,40.577423,-73.981225,MTA,2198765.0,7.8732999752413395
43,23 ST,6,40.740088,-73.986429,MTA,2192894.0,7.86992256495307
44,125 ST,456,40.804406,-73.937452,MTA,2176929.0,7.860692450147439
45,49 ST,NQRW,40.760139,-73.984112,MTA,2137958.0,7.837874111226834
46,168 ST,1AC,40.840778,-73.940091,MTA,2094876.0,7.812159514929779
47,CHAMBERS ST,23ACE,40.71433,-74.008563,MTA,2092316.0,7.810614910635984
48,66 ST-LINCOLN,1,40.773424,-73.982234,MTA,2026278.0,7.7701030448239585
49,23 ST,NRW,40.741006,-73.989315,MTA,2017646.0,7.7647103083258635
50,PAVONIA/NEWPORT,1,40.72712,-74.03383,PATH,2009174.0,7.759395048918187
51,50 ST,1,40.761675,-73.983908,MTA,2003840.0,7.756037033497517
52,86 ST-2 AVE,Q,40.777676,-73.951546,MTA,1998636.0,7.752752233814848
53,CROWN HTS-UTICA,34,40.669279,-73.932967,MTA,1998178.0,7.75246273176985
54,8 AV,ACEL,40.740388,-74.002104,MTA,1986979.0,7.7453631127182065
55,57 ST,F,40.763625,-73.977449,MTA,1986021.0,7.744753930740731
56,THIRTY THIRD ST,1,40.748931,-73.988113,PATH,1983427.0,7.7431029575903345
57,5 AV/53 ST,EM,40.760179,-73.975196,MTA,1975845.0,7.738264921917335
58,SUTPHIN-ARCHER,EJZ,40.700488,-73.807933,MTA,1912598.0,7.6971686344159185
59,KEW GARDENS,EF,40.714444,-73.830979,MTA,1903218.0,7.69095828004422
60,CORTLANDT ST,NRW,40.710662,-74.011052,MTA,1887561.0,7.680523515616564
61,B'WAY-LAFAYETTE,6BDFQ,40.725297,-73.996204,MTA,1884705.0,7.678610775041319
62,TIMES SQ-42 ST,1237ACENQRS,40.755905,-73.986504,MTA,1877378.0,7.673690397112653
63,GRAND ST,BD,40.718542,-73.994164,MTA,1843015.0,7.650355026759429
64,77 ST,6,40.773636,-73.959875,MTA,1817552.0,7.632781120379285
65,23 ST,CE,40.745924,-73.998005,MTA,1801587.0,7.621636466875116
66,JUNCTION BLVD,7,40.749143,-73.869452,MTA,1782362.0,7.608084298555923
67,3 AV-149 ST,25,40.816132,-73.917754,MTA,1780449.0,7.606727790675242
68,145 ST,ABCD,40.824787,-73.944232,MTA,1779737.0,7.606222539415192
69,WALL ST,45,40.707466,-74.011867,MTA,1772108.0,7.6007961073362065
70,EXCHANGE PLACE,1,40.716737,-74.033024,PATH,1734803.0,7.573920469753607
71,CITY / BUS,1,40.756901,-73.990279,PATH,1726693.0,7.568001339340311
72,DEKALB AV,BDNQR,40.690612,-73.981848,MTA,1714048.0,7.55871661743683
73,1 AV,L,40.730901,-73.981719,MTA,1689828.0,7.540740005993852
74,191 ST,1,40.855176,-73.929384,MTA,1670279.0,7.526041390360447
75,WALL ST,23,40.706864,-74.009056,MTA,1667223.0,7.523728089973157
76,WHITEHALL S-FRY,1RW,40.703082,-74.012983,MTA,1652659.0,7.512644998886496
77,MYRTLE-WYCKOFF,LM,40.699707,-73.91181,MTA,1638813.0,7.502017359297231
78,14 ST,ACEL,40.740388,-74.002104,MTA,1617544.0,7.485515938858854
79,METS-WILLETS PT,7,40.754622,-73.845625,MTA,1609263.0,7.4790324190575355
80,WOODHAVEN BLVD,MR,40.73308,-73.869259,MTA,1596722.0,7.469149778705612
81,JAMAICA 179 ST,F,40.712622,-73.783815,MTA,1590573.0,7.4642758085643575
82,51 ST,6,40.757108,-73.97187,MTA,1578929.0,7.4549944144519955
83,BROOKLYN BRIDGE,456JZ,40.713159,-74.003917,MTA,1576736.0,7.453238724181291
84,LEXINGTON AV/63,F,40.764763,-73.966291,MTA,1573257.0,7.450448461371932
85,103 ST-CORONA,7,40.749858,-73.862672,MTA,1571562.0,7.449086784115085
86,50 ST,CE,40.762439,-73.985989,MTA,1569544.0,7.4474637086115
87,86 ST,1,40.788844,-73.97599,MTA,1565486.0,7.4441935359911175
88,CANAL ST,ACE,40.720852,-74.005237,MTA,1564370.0,7.443292711987205
89,WORLD TRADE CTR,23ACE,40.712557,-74.009807,MTA,1556457.0,7.436886924958922
90,ASTORIA DITMARS,NQW,40.774984,-73.912067,MTA,1526549.0,7.412377861290335
91,RECTOR ST,1,40.70784,-74.013691,MTA,1515985.0,7.403605938679119
92,81 ST-MUSEUM,BC,40.781435,-73.972149,MTA,1509457.0,7.398154739108336
93,68ST-HUNTER CO,6,40.768143,-73.964016,MTA,1507655.0,7.3966458285411125
94,96 ST-2 AVE,Q,40.783485,-73.94768,MTA,1504150.0,7.393705732872212
95,KINGS HWY,BQ,40.608691,-73.957772,MTA,1482837.0,7.375678929700709
96,5 AV/59 ST,NQRW,40.764909,-73.973372,MTA,1441779.0,7.340209225526274
97,CHAMBERS ST,123,40.715436,-74.009335,MTA,1436563.0,7.335631015025253
98,NOSTRAND AV,AC,40.68041,-73.950326,MTA,1411190.0,7.313120725137478
99,FLATBUSH AV-B.C,25,40.632836,-73.947642,MTA,1402215.0,7.3050613054956095
100,7 AV,BDE,40.762877,-73.98159,MTA,1397806.0,7.3010831728214445
101,JFK JAMAICA CT1,E,40.643942,-73.782356,MTA,1386704.0,7.291010265542887
102,8 ST-NYU,NRW,40.730348,-73.992705,MTA,1382024.0,7.286739890012947
103,GRAND-NEWTOWN,MR,40.736998,-73.877242,MTA,1370570.0,7.276227108938363
104,NEWARK C,1,40.750912,-73.977026,PATH,1357335.0,7.263969713269003
105,QUEENSBORO PLZ,7NQW,40.750508,-73.940177,MTA,1356159.0,7.262874802878378
106,CHURCH AV,BQ,40.650494,-73.962836,MTA,1324069.0,7.232625259427132
107,149/GRAND CONC,245,40.818429,-73.926927,MTA,1321983.0,7.230633595244215
108,90 ST-ELMHURST,7,40.748541,-73.876791,MTA,1315577.0,7.224497592653586
109,UTICA AV,AC,40.679279,-73.930585,MTA,1313538.0,7.222538261590656
110,PRINCE ST,NRW,40.724332,-73.997684,MTA,1296832.0,7.20636951216048
111,BLEECKER ST,6DF,40.725665,-73.995645,MTA,1269796.0,7.17975639980435
112,STEINWAY ST,MR,40.756864,-73.920736,MTA,1268041.0,7.178009316718753
